Region,Income_Bracket,Estimated_Annual_Spend_EUR
Americas,100–200k EUR,1965.9404924680773
Americas,50–100k EUR,1208.6133540380852
Americas,<50k EUR,442.9038760517956
Americas,>200k EUR,3669.6379476058355
Asia/Pacific,100–200k EUR,1993.920773352944
Asia/Pacific,50–100k EUR,1239.6650220912904
Asia/Pacific,<50k EUR,479.27540580513556
Asia/Pacific,>200k EUR,3554.9057055543385
EMEA,100–200k EUR,2003.185607393463
EMEA,50–100k EUR,1196.5074499567954
EMEA,<50k EUR,502.2493226896513
EMEA,>200k EUR,3582.985221720062
Other,100–200k EUR,1996.5919910996438
Other,50–100k EUR,1209.6054375108265
Other,<50k EUR,498.31546641147753
Other,>200k EUR,3445.0427525312994
